transaction_id,expected_match_id,expected_status,exception_type
BNK-2001,ERP-1001,MATCH,
BNK-2002,ERP-1002,MATCH,
BNK-2003,ERP-1003,MATCH,
BNK-2004,ERP-1004,MATCH,
BNK-2005,ERP-1005,MATCH,
BNK-2006,ERP-1006,MATCH,
BNK-2007,ERP-1007,MATCH,
BNK-2008,ERP-1008,MATCH,
BNK-2009,ERP-1009,MATCH,
BNK-2010,ERP-1010,MATCH,
BNK-2011,ERP-1011,MATCH,
BNK-2012,ERP-1012,MATCH,
BNK-2013,ERP-1013,MATCH,
BNK-2014,ERP-1014,MATCH,
BNK-2015,ERP-1015,MATCH,
BNK-2016,ERP-1016,MATCH,
BNK-2017,ERP-1017,MATCH,
BNK-2018,ERP-1018,MATCH,
BNK-2019,ERP-1019,MATCH,
BNK-2020,ERP-1020,MATCH,
BNK-2021,ERP-1021,MATCH,
BNK-2022,ERP-1022,MATCH,
BNK-2023,ERP-1023,MATCH,
BNK-2024,ERP-1024,MATCH,
BNK-2025,ERP-1025,MATCH,
BNK-2026,ERP-1026,MATCH,
BNK-2027,ERP-1027,MATCH,
BNK-2028,ERP-1028,MATCH,
BNK-2029,ERP-1029,MATCH,
BNK-2030,ERP-1030,MATCH,
BNK-2031,ERP-1031,MATCH,
BNK-2032,ERP-1032,MATCH,
BNK-2033,ERP-1033,MATCH,
BNK-2034,ERP-1034,MATCH,
BNK-2035,ERP-1035,MATCH,
BNK-2036,ERP-1036,MATCH,
BNK-2037,ERP-1037,MATCH,
BNK-2038,ERP-1038,MATCH,
BNK-2039,ERP-1039,MATCH,
BNK-2040,ERP-1040,MATCH,
PP-3001,ERP-1041,MATCH,
PP-3002,ERP-1042,MATCH,
PP-3003,ERP-1043,MATCH,
PP-3004,ERP-1044,MATCH,
PP-3005,ERP-1045,MATCH,
BNK-2100,ERP-1046,MATCH,
BNK-2101,ERP-1047,MATCH,
BNK-2102,ERP-1048,MATCH,
PP-3100,ERP-1049,EXCEPTION,PARTIAL_SETTLEMENT
ERP-1050,,EXCEPTION,MISSING_BANK_RECORD
ERP-1051,,EXCEPTION,MISSING_BANK_RECORD
BNK-9999,,EXCEPTION,MISSING_ERP_RECORD
