Transaction_ID,Transaction_Date,Description,Reference_Number,Debit,Credit,Customer_Name,Source
PP-3000,2026-03-21,Settlement from Acme Corp,REF-ACME-1001,0,4503.74,Acme Corp,payment_processor
PP-3003,2026-03-24,Settlement from Initech Solutions,REF-INI-1004,0,25011.59,Initech Solutions,payment_processor
PP-3006,2026-03-27,Settlement from Wayne Enterprises,REF-WAYNE-1007,0,25025.72,Wayne Enterprises,payment_processor
PP-3009,2026-03-30,Settlement from Wonka Industries,REF-WONKA-1010,0,2597.81,Wonka Industries,payment_processor
PP-3012,2026-04-02,Settlement from Pied Piper,REF-PIPER-1013,0,4548.10,Pied Piper,payment_processor
PP-3015,2026-04-05,Settlement from Buy n Large,REF-BNL-1016,0,4548.08,Buy n Large,payment_processor
PP-3018,2026-04-08,Settlement from Vandelay Industries,REF-VAND-1019,0,4505.66,Vandelay Industries,payment_processor
PP-3021,2026-04-11,Settlement from Test Vendor Ltd,REF-TVL-1022,0,12020.37,Test Vendor Ltd,payment_processor
PP-3024,2026-04-14,Settlement from Soylent Corp,REF-SOY-1025,0,25093.24,Soylent Corp,payment_processor
PP-3027,2026-04-17,Settlement from Stark Industries,REF-STARK-1028,0,2529.82,Stark Industries,payment_processor
PP-3030,2026-04-20,Settlement from Cyberdyne Systems,REF-CYB-1031,0,12027.66,Cyberdyne Systems,payment_processor
PP-3033,2026-04-23,Settlement from Massive Dynamic,REF-MASS-1034,0,25068.26,Massive Dynamic,payment_processor
PP-3036,2026-04-26,Settlement from Dunder Mifflin,REF-DUND-1037,0,7565.49,Dunder Mifflin,payment_processor
PP-3039,2026-04-29,Settlement from Bluth Company,REF-BLUTH-1040,0,4549.38,Bluth Company,payment_processor
PP-3100,2026-05-20,Settlement from Oscorp,PARTIAL-0,0,5040.76,Oscorp,payment_processor
PP-3101,2026-05-21,Settlement from Wonka Industries,PARTIAL-1,0,4259.69,Wonka Industries,payment_processor
PP-3102,2026-05-22,Settlement from Cyberdyne Systems,PARTIAL-2,0,3784.97,Cyberdyne Systems,payment_processor
